x,AccuLevel,DetectorLoad,AccuControl,Setpoint,AccuTsat
3409.31,49.496,52.9015,88.8402,,2.2643
3420.17,49.2644,52.9591,88.9207,,2.5898
3436.36,48.919,53.0451,89.0348,,3.0531
3454.97,48.5703,53.1439,89.1567,,3.5505
3500.18,48.0177,53.3839,89.4238,,4.7265
3502.21,47.9959,53.3946,89.4351,,4.7831
3546.3,47.5562,53.6287,89.6688,,6.1055
3582.83,47.3619,53.8226,89.8497,,7.3188
3584.1,47.3479,53.8293,89.8559,,7.3632
3591.24,47.2469,53.8672,89.8901,,7.6156
3600.2,47.0775,53.9196,89.9327,,7.941
3612.44,46.8206,53.9911,89.9901,,8.4028
3632.91,46.63,54.1107,90.0847,,9.2136
3673.86,46.1728,54.35,90.2711,,10.876
3685.22,46.0692,54.4164,90.3232,,11.3138
3702.2,45.9119,54.5156,90.4025,,11.9306
3705.67,45.8721,54.5359,90.4191,,12.0517
3744.72,45.3112,54.764,90.6236,,13.3246
3765.24,44.9809,54.8839,90.7711,,13.9338
3766.76,44.9772,54.8929,90.7863,,13.9774
3768.67,44.9746,54.904,90.8076,,14.0313
3782.84,44.9819,54.9868,90.9626,,14.4185
3817.16,44.9912,55.1873,90.972,,15.276
3823.79,44.9689,55.2261,91.1524,,15.4397
3825.25,44.9623,55.2346,91.2368,,15.4759
3826.94,44.9542,55.2445,90.8654,,15.5179
3837.91,44.8937,55.3086,83.5435,,15.7911
3837.93,44.8935,55.3087,86.5501,,15.7917
3839.53,44.8852,55.318,89.9841,,15.8314
3850.47,44.8545,55.382,78.3617,,16.1017
3850.49,44.8545,55.3821,81.4444,,16.1022
3852.01,44.8555,55.391,73.2707,,16.1394
3858.1,44.8765,55.4266,69.0727,,16.2876
3859.84,44.8876,55.4368,67.9103,,16.3296
3861.37,44.8991,55.4457,61.4111,,16.3663
3870.76,44.9992,55.5005,52.8246,,16.589
3878.61,45.115,55.5464,49.2529,,16.7706
3887.98,45.2853,55.6012,39.2582,,16.9812
3900.63,45.5698,55.6751,30.4143,,17.2521
3902.09,45.6075,55.6836,29.3279,,17.2823
3920.88,46.2346,55.7934,14.4002,,17.6465
3925.26,46.4224,55.819,11.7205,,17.7238
3927.41,46.518,55.8316,10.5222,,17.7606
3934.51,46.8424,55.8731,6.8545,,17.8764
3939.7,47.0894,55.9012,4.0775,,17.9552
3944.39,47.3229,55.9266,-0.4632,,18.0224
3951.04,47.677,55.9626,-3.3466,,18.111
3953.81,47.836,55.9776,-5.0537,,18.1458
3958.5,48.1204,56.003,-10.2413,,18.2018
3973.1,49.0556,56.082,-11.363,,18.3561
3980.54,49.5208,56.1223,-11.5268,,18.4247
3999.43,50.6523,56.2246,-12.6014,,18.5761
4003.03,50.8586,56.2441,-12.9392,,18.6022
4012.02,51.3539,56.2928,-13.7872,,18.6645
4026.66,52.1698,56.3721,-14.7884,,18.7599
4034.06,52.6197,56.4122,-14.9965,,18.8061
4045.26,53.2991,56.4729,-14.3763,,18.8748
4048.24,53.4723,56.489,-14.0043,,18.8929
4056.6,53.9347,56.5342,-13.4068,,18.9434
4062.42,54.2344,56.5658,-13.1643,,18.9783
4094.41,55.8196,56.739,-11.8264,,19.167
4100.22,56.1445,56.7705,-11.5458,,19.2008
4109.68,56.712,56.8217,-10.5418,,19.2554
4123.86,57.558,56.8985,-9.2451,,19.3364
4124.34,57.5845,56.9011,-9.2239,,19.3392
4152.22,58.8769,57.0521,-8.2882,,19.4956
4159,59.1473,57.0888,-7.8524,,19.5332
4172.7,59.6714,57.163,-6.3475,,19.6083
4191.62,60.3667,57.2655,-3.9969,,19.7105
4206.26,60.8945,57.3448,-2.6884,,19.7884
4210.53,61.0478,57.3679,-2.3694,,19.8109
4235.74,61.9458,57.5044,-0.8211,,19.9417
4250.26,62.4547,57.5831,-0.4145,,20.0154
4257.95,62.7199,57.6247,-0.3052,,20.0539
4261.39,62.8377,57.6426,-0.2659,,20.071
4262.51,62.8758,57.6485,-0.2535,,20.0766
4286.14,63.6178,57.7716,0.3727,,20.1921
4300.33,63.97,57.8455,2.3925,,20.2599
4316.52,64.2861,57.9299,3.7418,,20.336
4333.42,64.5469,58.0179,4.9742,,20.4141
4353.91,64.8071,58.1247,7.1432,,20.507
4375.97,65.0398,58.2397,9.968,,20.605
4399.99,65.2453,58.3648,12.0054,,20.7096
4402.76,65.2656,58.3792,12.3243,,20.7215
4420.1,65.377,58.4696,14.6281,,20.7956
4462.64,65.5775,58.6912,16.5011,,20.9737
4470.53,65.6127,58.7323,18.4478,,21.0062
4475.26,65.6343,58.757,18.7477,,21.0257
4485.04,65.6804,58.8079,19.1308,,21.0657
4513.06,65.8234,58.9539,19.8642,,21.1801
4546.13,66.0049,59.1262,20.8094,,21.3159
4563.47,66.1033,59.2165,21.8953,,21.3882
4582.37,66.2123,59.3151,23.1802,,21.4685
4615.75,66.4077,59.489,23.9297,,21.6157
4617.02,66.4152,59.4956,23.9439,,21.6214
4657.97,66.6574,59.709,24.1337,,21.8152
4664.72,66.6974,59.7441,24.1325,,21.8488
4695.26,66.8781,59.9177,24.2098,,22.0081
4700.49,66.9089,59.9474,24.2561,,22.0367
4732.3,67.0942,60.1282,24.65,,22.2172
4750.89,67.1998,60.2338,24.7648,,22.3267
4794.98,67.4443,60.4844,24.0207,,22.5904
4835.92,67.6708,60.7171,23.4112,,22.8292
4845.69,67.7251,60.7726,23.7451,,22.8838
4869.01,67.8552,60.9051,24.8512,,23.0088
4910.26,68.086,61.1395,25.7844,,23.2043
4936.73,68.2341,61.29,26.0272,,23.3086
4974.52,68.445,61.5047,24.9055,,23.4365
5028.06,68.7419,61.8089,23.605,,23.6062
5056.73,68.8993,61.9719,24.3544,,23.7077
5067.52,68.958,62.0332,24.6465,,23.7502
5072.16,68.9832,62.0578,24.7256,,23.7694
5115.25,69.2158,62.2863,24.829,,23.9825
5136.73,69.332,62.4001,24.8946,,24.1173
5176.11,69.5506,62.6089,25.8748,,24.406
5212.64,69.7668,62.8026,25.8363,,24.6998
5234.38,69.9035,62.9178,25.8946,,24.8763
5246.98,69.985,62.9846,27.1445,,24.9768
5289.5,70.2663,63.21,26.658,,25.2926
5315.26,70.438,63.3465,26.1025,,25.4577
5320.99,70.4761,63.377,26.1101,,25.4911
5368.56,70.7865,63.6291,26.7897,,25.7271
5377.69,70.8447,63.6775,26.9204,,25.7657
5432.62,71.184,63.9687,27.3963,,25.9692
5450.14,71.2891,64.0684,27.4376,,26.0277
5517.86,71.6855,64.4538,27.4719,,26.2548
5535.25,71.7853,64.5528,27.7218,,26.3193
5569.83,71.9819,64.7496,28.2177,,26.4629
5576.45,72.0193,64.7873,28.2357,,26.4928
5643.85,72.398,65.1709,28.0968,,26.8426
5711.57,72.779,65.5563,28.778,,27.2781
5725.25,72.8566,65.6341,28.8473,,27.3765
5769.84,73.1127,65.8879,28.912,,27.716
5809.63,73.3486,66.1143,29.2875,,28.0212
5820.56,73.4156,66.1793,29.4015,,28.1013
5839.14,73.5331,66.2898,29.5639,,28.2314
5890.26,73.8908,66.5939,29.7787,,28.5362
5924.18,74.1517,66.7956,29.8468,,28.6918
5934.64,74.2304,66.8578,29.8697,,28.7336
5940.25,74.2718,66.889,29.883,,28.755
5995.05,74.6463,67.1939,30.0509,,28.9316
6017.1,74.7809,67.3165,30.2496,,28.9883
6025.24,74.8276,67.3618,30.3827,,29.0074
6029.92,74.8535,61.2227,30.465,,29.0179
6031.45,74.8618,54.4191,30.4933,,29.0213
6033.1,74.8707,65.4647,30.5252,,29.0249
6043.9,74.9261,33.8238,30.7781,,29.0473
6045.45,74.9337,33.8333,30.826,,29.0504
6056.48,74.9833,33.9008,31.953,,29.0713
6056.5,74.9833,33.9008,33.8178,,29.0714
6062.81,75.0077,33.9394,35.3752,,29.0825
6062.84,75.0078,33.9396,39.3712,,29.0826
6066.01,75.0185,33.959,42.7379,,29.0879
6067.54,75.0232,33.9683,36.6193,,29.0905
6069.39,75.0284,33.9797,36.9693,,29.0935
6080.25,75.0462,34.0461,41.7611,,29.11
6086.5,75.0413,34.0842,45.0591,,29.1187
6092.82,75.016,34.1229,48.291,,29.1267
6095.99,74.99,34.1423,50.6301,,29.1305
6105.47,74.7725,34.2002,55.2496,,29.1408
6107.19,74.7059,34.2107,55.986,,29.1425
6118.12,74.4043,34.2776,62.4365,,29.1523
6119.75,74.3658,34.2875,70.133,,29.1536
6127.66,74.1729,34.3358,73.7533,,29.1593
6141.86,73.7611,34.4227,79.047,,29.1675
6145.05,73.6665,34.4421,83.6315,,29.169
6149.7,73.5344,34.4706,85.9945,,29.1711
6157.68,73.3316,34.5194,89.0297,,29.1743
6168.75,73.0812,34.587,94.4191,,29.1784
6173.32,72.9808,34.615,97.6785,,29.1801
6175.08,72.9418,34.6257,99.4017,,29.1809
6176.68,72.9062,34.6355,102.7976,,29.1815
