x,AccuLevel,DetectorLoad,ModuleLoad,AccuControl,AccuTsat
2291.3,45.439,33.816,17.383,-9.635,-23.228
2296.01,45.44,33.815,17.384,-10.206,-23.234
2297.2,45.44,33.815,17.384,-10.489,-23.236
2303.87,45.441,33.816,17.385,-11.119,-23.245
2321.16,45.445,33.82,17.389,-11.652,-23.268
2325.86,45.446,33.821,17.39,-13.174,-23.274
2343.14,45.449,33.824,17.393,-14.696,-23.293
2350.75,45.45,33.825,17.394,-14.182,-23.301
2358.87,45.452,33.827,17.396,-12.984,-23.308
2366.74,45.454,33.828,17.398,-11.385,-23.314
2376.2,45.456,33.83,17.399,-8.645,-23.321
2410.77,45.463,33.836,17.406,-9.9,-23.34
2429.64,45.467,33.84,17.41,-9.101,-23.348
2446.92,45.47,33.843,17.413,-10.471,-23.354
2462.66,45.474,33.846,17.416,-8.682,-23.359
2487.81,45.479,33.85,17.421,-8.377,-23.367
2495.68,45.481,33.852,17.423,-7.083,-23.37
2514.53,45.485,33.855,17.427,-7.997,-23.377
2531.82,45.489,33.858,17.43,-8.643,-23.385
2552.26,45.493,33.862,17.434,-8.148,-23.396
2566.41,45.497,33.865,17.437,-8.985,-23.405
2574.48,45.499,33.866,17.439,-8.688,-23.411
2585.31,45.501,33.862,17.441,-8.215,-23.419
2588.42,45.502,33.861,17.441,-8.186,-23.422
2605.7,45.506,33.854,17.445,-9.67,-23.437
2619.84,45.509,33.848,17.448,-11.154,-23.451
2627.68,45.511,33.845,17.449,-13.285,-23.459
2638.7,45.514,33.841,17.451,-11.801,-23.471
2659.15,45.519,33.833,17.455,-9.707,-23.494
2668.59,45.521,33.829,17.457,-8.261,-23.505
2692.16,45.527,33.82,17.462,-9.288,-23.533
2709.45,45.532,33.813,17.466,-9.897,-23.554
2717.3,45.534,33.81,17.467,-10.696,-23.563
2739.32,45.54,33.801,17.471,-10.201,-23.587
2750.32,45.543,33.797,17.474,-9.326,-23.599
2762.9,45.547,33.792,17.476,-8.793,-23.611
2792.77,45.555,33.78,17.482,-8.755,-23.637
2810.17,45.561,33.773,17.485,-8.694,-23.648
2825.78,45.565,33.777,17.488,-8.754,-23.655
2834.85,45.568,33.779,17.49,-9.096,-23.658
2841.49,45.571,33.781,17.492,-9.629,-23.659
2857.21,45.576,33.785,17.495,-10.2,-23.659
2876.08,45.582,33.789,17.498,-9.21,-23.654
2887.09,45.587,33.792,17.5,-8.639,-23.649
2898.48,45.591,33.795,17.503,-9.7,-23.642
2904.37,45.593,33.796,17.504,-10.352,-23.637
2915.36,45.598,33.799,17.506,-12.064,-23.627
2916.92,45.599,33.799,17.506,-13.434,-23.626
2940.52,45.61,33.805,17.511,-11.341,-23.598
2951.53,45.615,33.808,17.513,-10.161,-23.581
2964.12,45.623,33.811,17.515,-8.296,-23.561
2977.08,45.744,33.814,17.518,-9.071,-23.537
2993.97,45.752,33.818,17.521,-10.084,-23.502
3014.17,45.75,33.823,17.524,-8.737,-23.454
3017.57,45.749,33.827,17.525,-8.486,-23.446
3029.49,45.748,33.838,17.527,-8.193,-23.414
3049.01,45.746,33.858,17.531,-8.219,-23.357
3076.12,45.745,33.884,17.536,-7.977,-23.265
3089.88,45.747,33.898,17.538,-8.104,-23.209
3115.03,45.749,33.923,17.543,-8.104,-23.086
3127.68,45.727,33.935,17.545,2.514,-23.01
3135.68,45.672,33.943,17.546,20.895,-22.956
3135.85,45.67,33.944,17.546,21.583,-22.955
3137.38,45.653,33.945,17.547,39.771,-22.944
3137.54,45.651,33.945,17.547,61.996,-22.942
3139.08,45.633,33.947,17.547,57.353,-22.931
3140.62,45.612,33.948,17.547,52.254,-22.92
3140.72,45.611,33.948,17.547,66.563,-22.919
3140.73,45.611,33.948,17.547,68.465,-22.919
3142.24,45.589,33.95,17.547,59.713,-22.908
3142.27,45.589,33.95,17.547,63.328,-22.907
3143.85,45.564,33.951,17.548,65.079,-22.895
3153.31,45.374,33.961,17.549,69.265,-22.817
3154.26,45.35,33.962,17.55,69.572,-22.809
3162.57,45.061,33.97,17.551,69.812,-22.731
3165.89,44.821,33.973,17.552,69.76,-22.698
3170.42,44.186,33.978,17.552,69.732,-22.65
3186.14,43.197,33.993,17.555,69.79,-22.464
3197.13,42.093,34.004,17.557,69.909,-22.311
3197.33,42.071,34.004,17.557,69.912,-22.308
3206.56,41.218,34.013,17.558,69.935,-22.162
3210.25,40.864,34.017,17.559,69.922,-22.098
3213.05,40.594,34.016,17.559,69.913,-22.048
3230.12,39.125,34.012,17.562,69.866,-21.696
3230.13,39.848,34.012,17.562,69.866,-21.696
3234.12,39.388,34.011,17.563,69.857,-21.599
3247.41,37.907,34.008,17.565,69.828,-21.231
3266.26,36.88,34.003,17.568,69.796,-20.615
3283.55,35.739,33.999,17.571,69.775,-20.036
3299.01,34.976,33.995,17.573,69.763,-19.545
3308.69,34.521,33.993,17.574,69.761,-19.251
3316.8,34.094,33.991,17.576,69.761,-19.01
3333.83,33.113,33.987,17.578,69.774,-18.519
3363.69,31.667,33.979,17.582,69.824,-17.691
3399.74,30.649,33.971,17.587,69.902,-16.748
3402.98,30.564,33.97,17.588,69.909,-16.667
3413.82,30.272,33.967,17.589,69.929,-16.402
3429.99,29.837,33.963,17.591,69.953,-16.029
3448.56,29.385,33.959,17.593,69.972,-15.635
3493.69,28.581,33.948,17.598,69.988,-14.71
3495.71,28.548,33.947,17.598,69.988,-14.664
3539.73,27.864,33.936,17.603,69.976,-13.587
3576.18,27.467,33.927,17.606,69.955,-12.576
3577.45,27.446,33.927,17.606,69.954,-12.539
3584.57,27.305,33.925,17.606,69.948,-12.326
3593.52,27.086,33.928,17.607,69.941,-12.051
3605.74,26.761,33.931,17.608,69.93,-11.657
3626.17,26.457,33.937,17.609,69.911,-10.96
3667.05,25.772,33.949,17.612,69.87,-9.524
3678.38,25.606,33.953,17.612,69.859,-9.15
3695.35,25.354,33.958,17.613,69.844,-8.627
3698.81,25.295,33.959,17.613,69.842,-8.525
3737.76,24.517,33.97,17.614,69.829,-7.47
3758.25,24.073,33.976,17.615,69.863,-6.974
3759.77,24.061,33.976,17.615,69.87,-6.939
3761.69,24.047,33.977,17.615,69.881,-6.895
3775.82,23.976,33.981,17.615,69.957,-6.587
3810.07,23.795,33.991,17.615,69.776,-5.92
3816.69,23.736,33.993,17.615,69.919,-5.794
3818.15,23.721,33.993,17.615,69.996,-5.765
3819.83,23.704,33.994,17.615,69.615,-5.733
3830.76,23.582,33.997,17.615,62.232,-5.521
3830.78,23.582,33.997,17.615,65.238,-5.521
3832.4,23.565,33.997,17.615,68.663,-5.489
3843.3,23.473,34.001,17.615,56.98,-5.28
3843.32,23.473,34.001,17.615,60.063,-5.28
3844.86,23.466,34.001,17.615,51.881,-5.251
3850.94,23.453,34.003,17.614,47.638,-5.136
3852.66,23.454,34.003,17.614,46.477,-5.104
3854.21,23.457,34.004,17.614,39.969,-5.076
3863.58,23.505,34.006,17.614,31.331,-4.905
3871.39,23.577,34.009,17.614,27.715,-4.767
3880.75,23.695,34.011,17.614,17.669,-4.609
3893.37,23.91,34.015,17.613,8.772,-4.408
3894.85,23.94,34.016,17.613,7.66,-4.386
3913.61,24.462,34.021,17.612,-7.372,-4.126
3917.97,24.625,34.022,17.612,-10.072,-4.073
3920.13,24.709,34.023,17.612,-11.286,-4.048
3927.23,24.995,34.025,17.612,-14.998,-3.972
3932.4,25.213,34.024,17.611,-17.799,-3.922
3937.06,25.42,34.024,17.611,-22.366,-3.881
3943.69,25.737,34.023,17.611,-25.289,-3.829
3946.46,25.881,34.022,17.611,-27.009,-3.81
3951.16,26.141,34.022,17.61,-32.223,-3.779
3965.71,26.993,34.02,17.609,-33.425,-3.706
3973.16,27.418,34.019,17.609,-33.63,-3.679
3992.02,28.444,34.016,17.607,-34.81,-3.632
3995.61,28.63,34.016,17.607,-35.168,-3.626
